name,date_utc,success,rocket_id,launchpad_id,flight_number,auto_update,tbd,net,upcoming,rocket_name,rocket_height,rocket_diameter,rocket_mass,rocket_stages,rocket_boosters,rocket_cost_per_launch,rocket_active,rocket_reusable,rocket_engines,rocket_thrust_sea_level,rocket_thrust_vacuum,launchpad_name,launchpad_region,launchpad_timezone,launchpad_latitude,launchpad_longitude,launch_attempts,launch_successes,launchpad_status,success_rate,payload_count,total_payload_mass,primary_payload_mass,payload_orbit,payload_customer_type,payload_nationality,payload_manufacturer,payload_type,launch_year,launch_month,launch_day_of_year,launch_hour,launch_day_of_week,launch_quarter,is_weekend,is_night_launch,temperature,humidity,wind_speed,precipitation,cloud_cover,visibility,pressure
FalconSat,2006-03-24T22:30:00.000Z,0,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,1,1,0,0,0,Falcon 1,22.25,1.68,30146,2,0,6700000,0,0,1,420,480,Kwajalein Atoll,Marshall Islands,Pacific/Kwajalein,9.0477206,167.7431292,5,2,retired,0.4,1,20,20,LEO,Commercial_Other,United States,SSTL,Satellite,2006,3,83,22,4,1,0,1,27.1,78.79,25.9,0,100,16,1009.5
DemoSat,2007-03-21T01:10:00.000Z,0,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,2,1,0,0,0,Falcon 1,22.25,1.68,30146,2,0,6700000,0,0,1,420,480,Kwajalein Atoll,Marshall Islands,Pacific/Kwajalein,9.0477206,167.7431292,5,2,retired,0.4,1,0,0,LEO,Commercial_Other,United States,SpaceX,Satellite,2007,3,80,1,2,1,0,1,26.3,87.73,16.6,1,90,16,1011.5
Trailblazer,2008-08-03T03:34:00.000Z,0,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,3,1,0,0,0,Falcon 1,22.25,1.68,30146,2,0,6700000,0,0,1,420,480,Kwajalein Atoll,Marshall Islands,Pacific/Kwajalein,9.0477206,167.7431292,5,2,retired,0.4,2,0,0,LEO,Government,United States,Space Dev,Satellite,2008,8,216,3,6,3,1,1,27.7,87.32,13,0,90,16,1010.6
RatSat,2008-09-28T23:15:00.000Z,1,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,4,1,0,0,0,Falcon 1,22.25,1.68,30146,2,0,6700000,0,0,1,420,480,Kwajalein Atoll,Marshall Islands,Pacific/Kwajalein,9.0477206,167.7431292,5,2,retired,0.4,1,165,165,LEO,SpaceX,United States,SpaceX,Satellite,2008,9,272,23,6,3,1,1,27.6,86.79,14.8,0,100,16,1011.9
RazakSat,2009-07-13T03:35:00.000Z,1,5e9d0d95eda69955f709d1eb,5e9e4502f5090995de566f86,5,1,0,0,0,Falcon 1,22.25,1.68,30146,2,0,6700000,0,0,1,420,480,Kwajalein Atoll,Marshall Islands,Pacific/Kwajalein,9.0477206,167.7431292,5,2,retired,0.4,1,200,200,LEO,Commercial_Other,Malaysia,Satrec,Satellite,2009,7,194,3,0,3,0,1,,,16.6,,,,1009.9
Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,6,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,0,0,LEO,SpaceX,United States,SpaceX,Dragon Boilerplate,2010,6,155,18,4,2,0,0,23.7,91.86,10,0,10.2,15.8,1014.3
COTS 1,2010-12-08T15:43:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,7,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,2,0,0,LEO,Government,United States,SpaceX,Dragon 1.0,2010,12,342,15,2,4,0,0,4.4,69.54,11.1,0,0,16,1020.3
COTS 2,2012-05-22T07:44:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,8,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,525,525,LEO,Government,United States,SpaceX,Dragon 1.0,2012,5,143,7,1,2,0,0,19.3,98.54,0.3,0,0,13.2,1015.1
CRS-1,2012-10-08T00:35:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,9,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,2,800,400,ISS,Government,United States,SpaceX,Dragon 1.0,2012,10,282,0,0,4,0,1,23.9,92.9,5,0,1.2,15,1015.8
CRS-2,2013-03-01T19:10:00.000Z,1,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,10,1,0,0,0,Falcon 9,70,3.7,549054,2,0,50000000,1,1,9,7607,8227,CCSFS SLC 40,Florida,America/New_York,28.5618571,-80.577366,99,97,active,0.97979798,1,677,677,ISS,Government,United States,SpaceX,Dragon 1.0,2013,3,60,19,4,1,0,0,14.7,64.6,19.7,0,0,16,1014.1
